Author;Year;ControlGroup_ID;wait;Attention;TAU;Study_ID;Intervention_Type;Sex_(Female);Age_(mean);Outcome_ID;Out.gen;g;v;Thinking;DSH;Spesific;NSSI;Follow_up;Duration (weeks);Total Attrition (%);Follow_up Time
Amadeo;2015;3;0;0;1;27;0;64;32;48;48;0.172;0.0356;1;0;SI;0;0;78;0;NA
Batterham;2018;2;0;1;0;6;0;86;NA;6;6;-0.315;0.0196;1;0;SI;0;0;1.5;59;NA
Batterham;2018;2;0;1;0;7;0;86;NA;6;74;-0.305;0.0196;1;0;SI;0;1;13.5;66;12
Beautrais;2010;3;0;0;1;7;1;66;33.8;7;7;-0.02;0.0031;0;1;SH;0;0;52;0;NA
Beautrais;2010;3;0;0;1;7;1;66;33.8;8;8;0.04;0.0031;0;1;SH;0;0;52;0;NA
Bertolote;2010;3;0;0;1;28;0;61;NA;49;49;0.012;0.0105;0;1;SA;0;0;78;9;NA
Bush;2017;3;0;0;1;30;1;32;47;52;52;-0.015;0.0358;1;0;SI;0;0;12;10;NA
Carter;2005;3;0;0;1;4;1;68;NA;4;4;-0.059;0.0052;0;1;DSP (Deliberate self poisining);0;0;52;0;NA
Carter;2013;3;0;0;1;4;1;68;NA;3;71;-0.0486;0.0076;0;1;DSP (Deliberate self poisining);0;1;260;0;208
Cedereke;2001;3;0;0;1;23;0;36.5;41;38;106;-0.255;0.0235;1;0;SI;0;1;34;31.5;17
Cedereke;2001;3;0;0;1;23;0;36.5;41;39;107;-0.015;0.0506;0;1;SA;0;1;34;31.5;17
Christensen;2013;1;1;0;0;25;1;81.9;41.49;47;47;-0.099;0.0196;1;0;SI;0;0;6;28.94;NA
Christensen;2013;1;1;0;0;19;1;81.9;41.49;35;103;-0.354;0.0196;1;0;SI;0;1;32;39.4;26
Comtois;2019;3;0;0;1;8;0;18;25.2;9;9;-0.0087;0.0088;1;0;SI;0;0;52;30;NA
Comtois;2019;3;0;0;1;8;0;18;25.2;10;10;-0.2776;0.026;0;1;SA;0;0;52;30;NA
Comtois;2019;3;0;0;1;8;0;18;25.2;11;11;-0.0535;0.006;1;0;SI;0;0;52;30;NA
De Jaegere et al;2019;1;1;0;0;1;1;59.4;35.7;1;1;-0.339;0.0056;1;0;SI;0;0;6;63;NA
De Jaegere et al;2019;1;1;0;0;1;1;59.4;35.7;1;69;-0.249;0.0056;1;0;SI;0;1;12;66;6
Evans;1999;3;0;0;1;9;0;55;33.5;12;12;-0.1;0.0012;0;1;DSH;0;0;26;NA;NA
Evans;2005;3;0;0;1;8;0;55;33.5;7;75;-0.096;0.0012;0;1;DSH;0;1;52;NA;26
Evans;2005;3;0;0;1;8;0;55;33.5;8;76;0.064;0.0012;0;1;DSH;0;1;52;NA;26
Evans;2005;3;0;0;1;8;0;55;33.5;9;77;-0.1;0.0012;0;1;DSH;0;1;52;NA;26
Franklin-1;2016;2;0;1;0;10;1;80.7;23.02;13;13;-0.556;0.073;0;1;DSH;0;0;4;49;NA
Franklin-1;2016;2;0;1;0;10;1;80.7;23.02;14;14;-0.357;0.0714;1;0;SI;0;0;4;49;NA
Franklin-1;2016;2;0;1;0;10;1;80.7;23.03;15;15;-0.53;0.0728;1;0;SP ;0;0;4;49;NA
Franklin-1;2016;2;0;1;0;9;1;80.7;23.02;64;64;-0.6317;0.0747;0;1;NSSI;1;0;4;49;NA
Franklin-1;2016;2;0;1;0;9;1;80.7;23.02;10;78;0.249;0.0763;0;1;DSH;0;1;6;52;2
Franklin-1;2016;2;0;1;0;9;1;80.7;23.02;11;79;-0.098;0.0758;1;0;SI;0;1;6;52;2
Franklin-1;2016;2;0;1;0;9;1;80.7;23.02;12;80;-0.344;0.0769;1;0;SP ;0;1;6;52;2
Franklin-1;2016;2;0;1;0;9;1;80.7;23.02;44;112;0.0671;0.0758;0;1;NSSI;1;1;6;52;2
Franklin-2;2016;2;0;1;0;11;1;74.1;22.9;16;16;-0.012;0.042;0;1;DSH;0;0;4;27;NA
Franklin-2;2016;2;0;1;0;11;1;74.1;22.9;17;17;-0.159;0.0421;0;1;DSH;0;0;4;27;NA
Franklin-2;2016;2;0;1;0;11;1;74.1;22.9;18;18;0.295;0.0424;1;0;SI;0;0;4;27;NA
Franklin-2;2016;2;0;1;0;11;1;74.1;22.9;19;19;-0.237;0.0423;1;0;SP ;0;0;4;27;NA
Franklin-2;2016;2;0;1;0;11;1;74.1;22.9;65;65;-0.0242;0.0419;0;1;NSSI-Ep;1;0;4;27;NA
Franklin-2;2016;2;0;1;0;11;1;74.1;22.9;66;66;-0.0907;0.042;0;1;NSSI-Ev;1;0;4;27;NA
Franklin-2;2016;2;0;1;0;10;1;74.1;22.9;13;81;0.2;0.0452;0;1;DSH;0;1;6;39;2
Franklin-2;2016;2;0;1;0;10;1;74.1;22.9;14;82;0.096;0.0451;0;1;DSH;0;1;6;39;2
Franklin-2;2016;2;0;1;0;10;1;74.1;22.9;15;83;0.402;0.0459;1;0;SI;0;1;6;39;2
Franklin-2;2016;2;0;1;0;10;1;74.1;22.9;16;84;0.208;0.0452;1;0;SP ;0;1;6;39;2
Franklin-2;2016;2;0;1;0;10;1;74.1;22.9;45;113;0.0174;0.045;0;1;NSSI-Ep;1;1;6;39;2
Franklin-2;2016;2;0;1;0;10;1;74.1;22.9;46;114;-0.1445;0.045116;0;1;NSSI-Ev;1;1;6;39;2
Franklin-3;2016;2;0;1;0;12;1;58.6;24.5;20;20;-0.122;0.0369;0;1;DSH;0;0;4;33;NA
Franklin-3;2016;2;0;1;0;12;1;58.6;24.5;21;21;-0.17;0.037;0;1;DSH;0;0;4;33;NA
Franklin-3;2016;2;0;1;0;12;1;58.6;24.5;22;22;0.099;0.0369;1;0;SI;0;0;4;33;NA
Franklin-3;2016;2;0;1;0;12;1;58.6;24.5;23;23;-0.154;0.037;1;0;SP ;0;0;4;33;NA
Franklin-3;2016;2;0;1;0;12;1;58.6;24.5;67;67;0.0102;0.03685;0;1;NSSI-Ep;0;0;4;33;NA
Franklin-3;2016;2;0;1;0;12;1;58.6;24.5;68;68;0.1818;0.05134;0;1;NSSI-Ev;0;0;4;33;NA
Franklin-3;2016;2;0;1;0;11;1;58.6;24.5;17;85;-0.075;0.0486;0;1;DSH;0;1;6;45;2
Franklin-3;2016;2;0;1;0;11;1;58.6;24.5;18;86;-0.186;0.0488;0;1;DSH;0;1;6;45;2
Franklin-3;2016;2;0;1;0;11;1;58.6;24.5;19;87;0.253;0.049;1;0;SI;0;1;6;45;2
Franklin-3;2016;2;0;1;0;11;1;58.6;24.5;20;88;0.119;0.0487;1;0;SP ;0;1;6;45;2
Franklin-3;2016;2;0;1;0;11;1;58.6;24.5;47;115;-0.1466;0.036948;0;1;NSSI-Ep;0;1;6;45;2
Franklin-3;2016;2;0;1;0;11;1;58.6;24.5;48;116;0.0276;0.0511;0;1;NSSI-Ev;0;1;6;45;2
Guille;2015;2;0;1;0;13;1;49.3;25.2;24;24;-0.374;0.0472;1;0;SP ;0;0;52;17;NA
Hassanian-Moghaddam;2011;3;0;0;1;14;1;33.5;24;25;25;-0.3097;0.0025;1;0;SI;0;0;52;8;NA
Hassanian-Moghaddam;2011;3;0;0;1;14;1;33.5;24;26;26;-0.314;0.0467;0;1;SA;0;0;52;8;NA
Hassanian-Moghaddam;2011;3;0;0;1;14;1;33.5;24;27;27;-0.086;0.0139;0;1;SH;0;0;52;8;NA
Hassanian-Moghaddam;2011;3;0;0;1;14;1;33.5;24;28;28;-0.0872;0.0019;0;1;SA;0;0;52;8;NA
Hassanian-Moghaddam;2011;3;0;0;1;14;1;33.5;24;29;29;0;0.0241;0;1;SH;0;0;52;8;NA
Hassanian-Moghaddam;2015;3;0;0;1;12;1;100;24;21;89;-0.2385;0.0025;1;0;SI;0;1;104;13;52
Hassanian-Moghaddam;2015;3;0;0;1;12;1;33.5;24;22;90;-0.1035;0.002;0;1;SA;0;1;104;13;52
Hassanian-Moghaddam;2015;3;0;0;1;12;1;33.5;24;23;91;-0.0077;0.002;0;1;SH;0;1;104;13;52
Hassanian-Moghaddam;2015;3;0;0;1;12;1;33.5;24;24;92;-0.008;0.006;1;0;SI;0;1;104;13;52
Hetrick et al.;2017;3;0;0;1;3;1;82;14.7;3;3;-0.137;0.1;1;0;SI;0;0;10;22;NA
Hetrick et al.;2017;3;0;0;1;2;1;82;14.7;2;70;-0.337;0.1;1;0;SI;0;1;22;40;12
Hill;2019;2;0;1;0;20;1;68.8;16.67;38;38;-0.501;0.0582;1;0;SI;0;0;2;11.25;NA
Hill;2019;1;1;0;0;26;1;68.8;16.67;42;110;-0.227;0.0582;1;0;SI;0;1;8;13.75;6
Hooley;2018;2;0;1;0;38;1;85.4;25.63;61;61;-0.206;0.0495;1;0;SI;0;0;4;35.88;NA
Hooley;2018;2;0;1;0;38;1;85.4;25.63;62;62;-0.137;0.0494;1;0;SP ;0;0;4;36.88;NA
Hooley;2018;2;0;1;0;38;1;85.4;25.63;40;108;-0.459;0.0584;1;0;SI;0;1;12;50.8;8
Hooley;2018;2;0;1;0;38;1;85.4;25.63;41;109;-0.139;0.057;1;0;SP ;0;1;12;50.8;8
Kasckow;2016;3;0;0;1;34;1;6;51;58;58;-0.068;0.1251;1;0;SI;0;0;13;41;NA
Luxton;2020;3;0;0;1;16;1;24;32;30;30;-0.063;0.0096;1;0;SI;0;0;104;32;NA
Luxton;2020;3;0;0;1;16;1;24;32;31;31;0.1084;0.0247;0;1;SA;0;0;104;32;NA
Marasinghe;2012;1;1;0;0;36;0;100;32.5;59;59;-1.103;0.1366;1;0;SI;0;0;26;NA;NA
Marasinghe;2012;1;1;0;0;36;2;0;29.5;60;60;-0.644;0.124;1;0;SI;0;0;26;NA;NA
Motto;2001;1;1;0;0;17;0;0.55;NA;32;32;-0.1047;0.0362;0;1;Suicide ;0;0;260;0;NA
Motto;2001;1;1;0;0;14;0;0.55;NA;25;93;0.0631;0.0254;0;1;Suicide ;0;1;782;0;522
Mouaffak et al.;2015;1;1;0;0;2;0;73.5;39;2;2;0.0055;0.0631;0;1;SA;0;0;52;5;NA
Mousavi;2014;3;0;0;1;29;0;64;NA;50;50;-0.7564;0.388;0;1;SA;0;0;26;NA;NA
Mousavi;2014;3;0;0;1;29;0;64;NA;51;51;-0.374;0.041;1;0;SI;0;0;26;NA;NA
Niederkroenthaler;2020;2;0;1;0;31;1;73;34;53;53;-0.159;0.0058;1;0;SI;0;0;0.14;0;NA
Niederkroenthaler;2020;2;0;1;0;21;1;73;34;36;104;-0.179;0.0058;1;0;SI;0;1;1;0;0.86
O’Conner;2017;3;0;0;1;32;1;63;36;54;54;-0.032;0.0121;0;1;SH;0;0;26;2;NA
O’Conner;2017;3;0;0;1;32;1;63;36;55;55;-0.067;0.0078;0;1;SH;0;0;26;2;NA
O’Conner;2017;3;0;0;1;32;1;63;36;56;56;-0.09;0.0078;0;1;SH;0;0;26;2;NA
Robinson;2012;3;0;0;1;18;1;62;18.6;33;33;0.2179;0.1738;0;1;SA;0;0;52;32;NA
Robinson;2012;3;0;0;1;18;1;62;18.6;34;34;0.0079;0.06124;1;0;SI;0;0;52;32;NA
Robinson;2012;3;0;0;1;18;1;62;18.6;35;35;-0.123;0.04749;1;0;SI;0;0;52;32;NA
Robinson;2012;3;0;0;1;18;1;62;18.6;36;36;-0.388;0.173914;0;1;DSH;0;0;52;32;NA
Robinson;2012;3;0;0;1;18;1;62;18.6;37;37;-0.0552;0.05673;0;1;DSH;0;0;52;32;NA
Robinson;2012;3;0;0;1;15;1;62;18.6;63;63;0.018;0.0359;1;0;SI;0;0;52;47;26
Robinson;2012;3;0;0;1;15;1;62;18.6;26;94;-0.17;0.6225;0;1;SA;0;1;78;47;26
Robinson;2012;3;0;0;1;15;1;62;18.6;27;95;-0.048;0.1527;1;0;SI;0;1;78;47;26
Robinson;2012;3;0;0;1;15;1;62;18.6;28;96;-0.1386;0.4248;1;0;SI;0;1;78;47;26
Robinson;2012;3;0;0;1;15;1;62;18.6;29;97;-0.8;0.42;0;1;DSH;0;1;78;47;26
Robinson;2012;3;0;0;1;15;1;62;18.6;30;98;-0.49;0.178;0;1;DSH;0;1;78;47;26
Robinson;2012;3;0;0;1;15;1;62;18.6;43;111;0.179;0.047;1;0;SI;0;1;78;47;26
Rodante;2020;3;0;0;1;24;1;81;30;45;45;0.276;0.2247;1;0;SI;0;0;4;14.2;NA
Rodante;2020;3;0;0;1;24;1;81;30;46;46;-0.316;0.225;1;0;SP ;0;0;4;14.2;NA
Tighe;2016;1;1;0;0;19;1;64;26;39;39;0;0.0656;1;0;SI;0;0;6;3;NA
Vaiva;2018;3;0;0;1;5;0;64.8;38.7;5;5;-0.126;0.0045;0;1;SE (Suicidal Event) Fatal or not;0;0;24;14;NA
Vaiva;2018;3;0;0;1;5;0;64.8;38.7;4;72;-0.095;0.0044;0;1;SE (Suicidal Event) Fatal or not;0;1;52;14;NA
Vaiva;2006;3;0;0;1;6;0;73.2;36;5;73;-0.1271;0.014;0;1;SA;0;1;52;7;28
van Spijker;2014;1;1;0;0;22;1;66.1;41;43;43;-0.279;0.0171;1;0;SI;0;0;6;9;NA
van Spijker;2018;2;0;1;0;23;1;77.3;41;44;44;-0.1072;0.0278;1;0;SI;0;0;6;45.9;NA
van Spijker;2018;2;0;1;0;18;1;77.3;41;34;102;-0.06;0.0605;1;0;SUICIDAL THOUGHTS;0;1;58;66.3;52
Wei;2012;1;1;0;0;33;0;76;33;57;57;0.1221;0.042;1;0;SI;0;0;12;25.8;NA
Wei;2012;1;1;0;0;22;0;76;33;37;105;-0.07;0.091;1;0;SI;0;1;52;60;40
Wilks;2018;1;1;0;0;21;1;69.5;38;42;42;-0.464;0.0823;1;0;SI;0;0;4;17;NA
Wilks;2018;1;1;0;0;17;1;69.5;38;33;101;-0.512;0.0828;1;0;SI;0;1;16;17;12
Wilksch;2019;2;0;1;0;20;1;100;21;40;40;-0.655;0.3565;1;0;SI-Treatment;0;0;10;NA;NA
Wilksch;2019;2;0;1;0;20;1;100;21;41;41;-0.512;0.1172;1;0;SI-PREVENTION;0;0;10;NA;NA
Wilksch;2019;2;0;1;0;16;1;100;21;31;99;-0.251;0.1082;1;0;SI-PREVENTION;0;1;62;NA;52
Wilksch;2019;2;0;1;0;16;1;100;21;32;100;-0.484;0.1323;1;0;SI-TREATMENT;0;1;62;NA;52
